state,year,cases,ncvbdc_cases,difference,pct_difference
KARNATAKA,2023,19300,19300.0,0.0,0.0
KERALA,2023,17426,17426.0,0.0,0.0
LAKSHADWEEP,2023,445,445.0,0.0,0.0
MADHYA PRADESH,2023,6979,6979.0,0.0,0.0
MAHARASHTRA,2023,19034,19034.0,0.0,0.0
MANIPUR,2023,2548,2548.0,0.0,0.0
MEGHALAYA,2023,114,114.0,0.0,0.0
MIZORAM,2023,2060,2060.0,0.0,0.0
NAGALAND,2023,4943,4943.0,0.0,0.0
ODISHA,2023,12845,12845.0,0.0,0.0
PUNJAB,2023,13687,13687.0,0.0,0.0
RAJASTHAN,2023,13924,13924.0,0.0,0.0
SIKKIM,2023,311,311.0,0.0,0.0
TAMIL NADU,2023,9121,9121.0,0.0,0.0
TELANGANA,2023,8016,8016.0,0.0,0.0
TRIPURA,2023,1447,1447.0,0.0,0.0
UTTAR PRADESH,2023,35402,35402.0,0.0,0.0
UTTARAKHAND,2023,4320,4320.0,0.0,0.0
ANDHRA PRADESH,2024,5555,5555.0,0.0,0.0
ARUNACHAL PRADESH,2024,20,20.0,0.0,0.0
ASSAM,2024,2271,2271.0,0.0,0.0
BIHAR,2024,10157,10157.0,0.0,0.0
CHANDIGARH,2024,349,349.0,0.0,0.0
CHHATTISGARH,2024,3523,3523.0,0.0,0.0
DADRA AND NAGAR HAVELI,2024,403,403.0,0.0,0.0
DAMAN AND DIU,2024,278,278.0,0.0,0.0
DELHI,2024,10585,10585.0,0.0,0.0
GOA,2024,567,567.0,0.0,0.0
GUJARAT,2024,7891,7891.0,0.0,0.0
HARYANA,2024,6469,6469.0,0.0,0.0
HIMACHAL PRADESH,2024,3359,3359.0,0.0,0.0
JAMMU AND KASHMIR,2024,6876,6876.0,0.0,0.0
JHARKHAND,2024,1528,1528.0,0.0,0.0
KARNATAKA,2024,32886,32886.0,0.0,0.0
KERALA,2024,20674,20674.0,0.0,0.0
LAKSHADWEEP,2024,513,513.0,0.0,0.0
MADHYA PRADESH,2024,10224,10224.0,0.0,0.0
MAHARASHTRA,2024,19385,19385.0,0.0,0.0
MANIPUR,2024,2463,2463.0,0.0,0.0
MEGHALAYA,2024,74,74.0,0.0,0.0
MIZORAM,2024,744,744.0,0.0,0.0
NAGALAND,2024,42,42.0,0.0,0.0
ODISHA,2024,9892,9892.0,0.0,0.0
PUNJAB,2024,6260,6260.0,0.0,0.0
RAJASTHAN,2024,12514,12514.0,0.0,0.0
SIKKIM,2024,374,374.0,0.0,0.0
TAMIL NADU,2024,27378,27378.0,0.0,0.0
TELANGANA,2024,10077,10077.0,0.0,0.0
TRIPURA,2024,1198,1198.0,0.0,0.0
UTTAR PRADESH,2024,15868,15868.0,0.0,0.0
UTTARAKHAND,2024,494,494.0,0.0,0.0
