year,model,state,y_log,pred_log,cases
2018,Persistence (previous year),PUNJAB,9.614538010517382,9.642057851228413,14980
2018,Persistence (previous year),RAJASTHAN,9.168267595554275,9.03931477492408,9587
2018,Persistence (previous year),SIKKIM,5.771441123130016,5.746203190540153,320
2018,Persistence (previous year),TAMIL NADU,8.408939605975984,10.055994024250897,4486
2018,Persistence (previous year),TELANGANA,8.432288684325794,8.58858318750291,4592
2018,Persistence (previous year),TRIPURA,4.61512051684126,4.852030263919617,100
2018,Persistence (previous year),UTTAR PRADESH,8.250620082174692,8.03689677268507,3829
2018,Persistence (previous year),UTTARAKHAND,6.536691597591305,6.745236349484363,689
2018,State climatology (training mean),ANDAMAN AND NICOBAR,3.912023005428146,2.9444389791664403,49
2018,State climatology (training mean),ANDHRA PRADESH,8.297045149081827,8.502282578680484,4011
2018,State climatology (training mean),ARUNACHAL PRADESH,0.6931471805599453,2.9444389791664403,1
2018,State climatology (training mean),ASSAM,5.117993812416755,8.522180732927277,166
2018,State climatology (training mean),BIHAR,7.669961995473577,7.5256399750415355,2142
2018,State climatology (training mean),CHANDIGARH,5.71042701737487,7.026426808699636,301
2018,State climatology (training mean),CHHATTISGARH,7.891704659330107,6.09807428216624,2674
2018,State climatology (training mean),DADRA AND NAGAR HAVELI,6.202535517187923,7.632885505395133,493
2018,State climatology (training mean),DAMAN AND DIU,5.099866427824199,4.0943445622221,163
2018,State climatology (training mean),DELHI,8.873047798971067,9.134754385019587,7136
2018,State climatology (training mean),GOA,5.817111159963204,5.4638318050256105,335
2018,State climatology (training mean),GUJARAT,8.933268478636418,8.46674164792014,7579
2018,State climatology (training mean),HARYANA,7.549082710812286,8.423102268016642,1898
2018,State climatology (training mean),HIMACHAL PRADESH,8.449556542700426,6.115892125483034,4672
2018,State climatology (training mean),JAMMU AND KASHMIR,5.3706380281276624,6.192362489474872,214
2018,State climatology (training mean),JHARKHAND,6.139884552226255,6.566672429803241,463
2018,State climatology (training mean),KARNATAKA,8.395703293828527,9.789478635924262,4427
2018,State climatology (training mean),KERALA,8.314832179284556,9.90323752128092,4083
2018,State climatology (training mean),LAKSHADWEEP,0.0,0.0,0
2018,State climatology (training mean),MADHYA PRADESH,8.413387022690648,7.888709524182015,4506
2018,State climatology (training mean),MAHARASHTRA,9.306740866262498,8.965717788984849,11011
2018,State climatology (training mean),MANIPUR,2.70805020110221,5.267858159063328,14
2018,State climatology (training mean),MEGHALAYA,3.8066624897703196,3.970291913552122,44
2018,State climatology (training mean),MIZORAM,4.23410650459726,4.919980925828125,68
2018,State climatology (training mean),NAGALAND,5.91350300563827,5.8805329864007,369
2018,State climatology (training mean),ODISHA,8.556221578383715,8.33302993974291,5198
2018,State climatology (training mean),PUDUCHERRY,6.385194398997726,8.427049641563272,592
2018,State climatology (training mean),PUNJAB,9.614538010517382,9.642057851228413,14980
2018,State climatology (training mean),RAJASTHAN,9.168267595554275,9.03931477492408,9587
2018,State climatology (training mean),SIKKIM,5.771441123130016,5.746203190540153,320
2018,State climatology (training mean),TAMIL NADU,8.408939605975984,10.055994024250897,4486
2018,State climatology (training mean),TELANGANA,8.432288684325794,8.58858318750291,4592
2018,State climatology (training mean),TRIPURA,4.61512051684126,4.852030263919617,100
2018,State climatology (training mean),UTTAR PRADESH,8.250620082174692,8.03689677268507,3829
2018,State climatology (training mean),UTTARAKHAND,6.536691597591305,6.745236349484363,689
2018,Global annual mean,ANDAMAN AND NICOBAR,3.912023005428146,8.367631963922786,49
2018,Global annual mean,ANDHRA PRADESH,8.297045149081827,8.367631963922786,4011
2018,Global annual mean,ARUNACHAL PRADESH,0.6931471805599453,8.367631963922786,1
2018,Global annual mean,ASSAM,5.117993812416755,8.367631963922786,166
2018,Global annual mean,BIHAR,7.669961995473577,8.367631963922786,2142
2018,Global annual mean,CHANDIGARH,5.71042701737487,8.367631963922786,301
2018,Global annual mean,CHHATTISGARH,7.891704659330107,8.367631963922786,2674
2018,Global annual mean,DADRA AND NAGAR HAVELI,6.202535517187923,8.367631963922786,493
2018,Global annual mean,DAMAN AND DIU,5.099866427824199,8.367631963922786,163
2018,Global annual mean,DELHI,8.873047798971067,8.367631963922786,7136
2018,Global annual mean,GOA,5.817111159963204,8.367631963922786,335
2018,Global annual mean,GUJARAT,8.933268478636418,8.367631963922786,7579
2018,Global annual mean,HARYANA,7.549082710812286,8.367631963922786,1898
2018,Global annual mean,HIMACHAL PRADESH,8.449556542700426,8.367631963922786,4672
2018,Global annual mean,JAMMU AND KASHMIR,5.3706380281276624,8.367631963922786,214
2018,Global annual mean,JHARKHAND,6.139884552226255,8.367631963922786,463
2018,Global annual mean,KARNATAKA,8.395703293828527,8.367631963922786,4427
2018,Global annual mean,KERALA,8.314832179284556,8.367631963922786,4083
2018,Global annual mean,LAKSHADWEEP,0.0,8.367631963922786,0
2018,Global annual mean,MADHYA PRADESH,8.413387022690648,8.367631963922786,4506
2018,Global annual mean,MAHARASHTRA,9.306740866262498,8.367631963922786,11011
2018,Global annual mean,MANIPUR,2.70805020110221,8.367631963922786,14
2018,Global annual mean,MEGHALAYA,3.8066624897703196,8.367631963922786,44
2018,Global annual mean,MIZORAM,4.23410650459726,8.367631963922786,68
2018,Global annual mean,NAGALAND,5.91350300563827,8.367631963922786,369
2018,Global annual mean,ODISHA,8.556221578383715,8.367631963922786,5198
2018,Global annual mean,PUDUCHERRY,6.385194398997726,8.367631963922786,592
2018,Global annual mean,PUNJAB,9.614538010517382,8.367631963922786,14980
2018,Global annual mean,RAJASTHAN,9.168267595554275,8.367631963922786,9587
2018,Global annual mean,SIKKIM,5.771441123130016,8.367631963922786,320
2018,Global annual mean,TAMIL NADU,8.408939605975984,8.367631963922786,4486
2018,Global annual mean,TELANGANA,8.432288684325794,8.367631963922786,4592
2018,Global annual mean,TRIPURA,4.61512051684126,8.367631963922786,100
2018,Global annual mean,UTTAR PRADESH,8.250620082174692,8.367631963922786,3829
2018,Global annual mean,UTTARAKHAND,6.536691597591305,8.367631963922786,689
2018,Negative-binomial GLM (history),ANDAMAN AND NICOBAR,3.912023005428146,3.840352487379253,49
2018,Negative-binomial GLM (history),ANDHRA PRADESH,8.297045149081827,10.274816019376646,4011
2018,Negative-binomial GLM (history),ARUNACHAL PRADESH,0.6931471805599453,4.972283047423663,1
2018,Negative-binomial GLM (history),ASSAM,5.117993812416755,9.861411244655626,166
2018,Negative-binomial GLM (history),BIHAR,7.669961995473577,10.741855945809787,2142
2018,Negative-binomial GLM (history),CHANDIGARH,5.71042701737487,6.002491602055616,301
2018,Negative-binomial GLM (history),CHHATTISGARH,7.891704659330107,8.872245330318291,2674
2018,Negative-binomial GLM (history),DADRA AND NAGAR HAVELI,6.202535517187923,5.649665189788233,493
2018,Negative-binomial GLM (history),DAMAN AND DIU,5.099866427824199,8.080743867126012,163
2018,Negative-binomial GLM (history),DELHI,8.873047798971067,9.361101915714825,7136
2018,Negative-binomial GLM (history),GOA,5.817111159963204,5.796893384577209,335
2018,Negative-binomial GLM (history),GUJARAT,8.933268478636418,10.529541268968684,7579
2018,Negative-binomial GLM (history),HARYANA,7.549082710812286,9.561473976971714,1898
2018,Negative-binomial GLM (history),HIMACHAL PRADESH,8.449556542700426,7.555145740958052,4672
2018,Negative-binomial GLM (history),JAMMU AND KASHMIR,5.3706380281276624,8.047298373542539,214
2018,Negative-binomial GLM (history),JHARKHAND,6.139884552226255,9.24999540481159,463
2018,Negative-binomial GLM (history),KARNATAKA,8.395703293828527,10.83150628172537,4427
2018,Negative-binomial GLM (history),KERALA,8.314832179284556,10.269998256235597,4083
