model,state,mae_log,n
State climatology (training mean),JAMMU AND KASHMIR,1.3768929506553498,7.0
State climatology (training mean),JHARKHAND,0.959542756345283,7.0
State climatology (training mean),KARNATAKA,0.7365172659667031,7.0
State climatology (training mean),KERALA,0.9426151795089347,7.0
State climatology (training mean),LAKSHADWEEP,1.4646644657030077,7.0
State climatology (training mean),MADHYA PRADESH,0.757811640777161,7.0
State climatology (training mean),MAHARASHTRA,0.5294857265935455,7.0
State climatology (training mean),MANIPUR,1.5405222573430757,7.0
State climatology (training mean),MEGHALAYA,0.8421623379349924,7.0
State climatology (training mean),MIZORAM,0.9780703487028228,7.0
State climatology (training mean),NAGALAND,2.4288372122673634,7.0
State climatology (training mean),ODISHA,0.7788986480785567,7.0
State climatology (training mean),PUDUCHERRY,0.6279586917336466,7.0
State climatology (training mean),PUNJAB,0.3747037653133507,7.0
State climatology (training mean),RAJASTHAN,0.5126722962971113,7.0
State climatology (training mean),SIKKIM,0.6225032185341278,7.0
State climatology (training mean),TAMIL NADU,0.8248314929895955,7.0
State climatology (training mean),TELANGANA,0.4778704104513934,7.0
State climatology (training mean),TRIPURA,1.1095514022860675,7.0
State climatology (training mean),UTTAR PRADESH,0.7591157979013025,7.0
State climatology (training mean),UTTARAKHAND,1.511882157677503,7.0
