feature,importance,category
month_sin,0.502085,temporal
month_cos,0.22533533,temporal
cases_rolling3,0.18161076,autoregressive
rain_lag2,0.014877008,climate
rain_rolling3,0.013640614,climate
cases_lag2,0.011128391,autoregressive
cases_lag1,0.009104739,autoregressive
rain_lag1,0.0055862004,climate
cases_lag3,0.0051124296,autoregressive
cases_lag4,0.0050456533,autoregressive
temp_lag1,0.0047068875,climate
rainfall_mm,0.0041066566,climate
humidity_lag1,0.0036459249,climate
is_monsoon,0.003351288,temporal
humidity_lag2,0.0024519651,climate
temp_rolling3,0.0018515101,climate
population_millions,0.001728379,other
temp_lag2,0.0017274237,climate
temperature_c,0.0015715478,climate
humidity_pct,0.0013323372,climate
