state,year,cases,health_index_2019_20,gdp_pc,seci_score,pop_2011,urban_pct_2011,density_2011,incidence_per_100k
RAJASTHAN,2015,4043,41.33,150653.0,35.4,68548437.0,24.87,201.0,5.898019235653761
RAJASTHAN,2016,5292,41.33,150653.0,35.4,68548437.0,24.87,201.0,7.7200884974226325
RAJASTHAN,2017,8427,41.33,150653.0,35.4,68548437.0,24.87,201.0,12.293496932687175
RAJASTHAN,2018,9587,41.33,150653.0,35.4,68548437.0,24.87,201.0,13.985730994858423
RAJASTHAN,2019,13706,41.33,150653.0,35.4,68548437.0,24.87,201.0,19.99462073803375
RAJASTHAN,2020,2023,41.33,150653.0,35.4,68548437.0,24.87,201.0,2.951197851527964
RAJASTHAN,2021,20749,41.33,150653.0,35.4,68548437.0,24.87,201.0,30.269107375854535
RAJASTHAN,2022,13491,41.33,150653.0,35.4,68548437.0,24.87,201.0,19.680973907545113
RAJASTHAN,2023,13924,41.33,150653.0,35.4,68548437.0,24.87,201.0,20.312644035924553
RAJASTHAN,2024,12514,41.33,150653.0,35.4,68548437.0,24.87,201.0,18.25570435690605
SIKKIM,2015,21,33.91,520466.0,33.3,610577.0,25.15,86.0,3.4393696454337457
SIKKIM,2016,82,33.91,520466.0,33.3,610577.0,25.15,86.0,13.42991956788415
SIKKIM,2017,312,33.91,520466.0,33.3,610577.0,25.15,86.0,51.099206160729935
SIKKIM,2018,320,33.91,520466.0,33.3,610577.0,25.15,86.0,52.409442216133264
SIKKIM,2019,444,33.91,520466.0,33.3,610577.0,25.15,86.0,72.71810107488491
SIKKIM,2020,11,33.91,520466.0,33.3,610577.0,25.15,86.0,1.801574576179581
SIKKIM,2021,243,33.91,520466.0,33.3,610577.0,25.15,86.0,39.7984201828762
SIKKIM,2022,264,33.91,520466.0,33.3,610577.0,25.15,86.0,43.23778982830994
SIKKIM,2023,311,33.91,520466.0,33.3,610577.0,25.15,86.0,50.93542665380452
SIKKIM,2024,374,33.91,520466.0,33.3,610577.0,25.15,86.0,61.253535590105756
TAMIL NADU,2015,4535,69.14,277802.0,43.4,72147030.0,48.4,555.0,6.2857750346757175
TAMIL NADU,2016,2531,69.14,277802.0,43.4,72147030.0,48.4,555.0,3.5081139168168116
TAMIL NADU,2017,23294,69.14,277802.0,43.4,72147030.0,48.4,555.0,32.286845349004665
TAMIL NADU,2018,4486,69.14,277802.0,43.4,72147030.0,48.4,555.0,6.217858171015495
TAMIL NADU,2019,8527,69.14,277802.0,43.4,72147030.0,48.4,555.0,11.818920335320803
TAMIL NADU,2020,2410,69.14,277802.0,43.4,72147030.0,48.4,555.0,3.340400845329323
TAMIL NADU,2021,6039,69.14,277802.0,43.4,72147030.0,48.4,555.0,8.370406931511942
TAMIL NADU,2022,6430,69.14,277802.0,43.4,72147030.0,48.4,555.0,8.912355782351678
TAMIL NADU,2023,9121,69.14,277802.0,43.4,72147030.0,48.4,555.0,12.642239049895748
TAMIL NADU,2024,27378,69.14,277802.0,43.4,72147030.0,48.4,555.0,37.94750802631793
TELANGANA,2015,1831,47.55,312522.0,41.9,35003674.0,38.88,312.0,5.230879478537024
TELANGANA,2016,4037,47.55,312522.0,41.9,35003674.0,38.88,312.0,11.533075070919699
TELANGANA,2017,5369,47.55,312522.0,41.9,35003674.0,38.88,312.0,15.338389907299446
TELANGANA,2018,4592,47.55,312522.0,41.9,35003674.0,38.88,312.0,13.118622919411258
TELANGANA,2019,13331,47.55,312522.0,41.9,35003674.0,38.88,312.0,38.084573636470274
TELANGANA,2020,2173,47.55,312522.0,41.9,35003674.0,38.88,312.0,6.207919774364257
TELANGANA,2021,7135,47.55,312522.0,41.9,35003674.0,38.88,312.0,20.38357459276989
TELANGANA,2022,8972,47.55,312522.0,41.9,35003674.0,38.88,312.0,25.631595129128446
TELANGANA,2023,8016,47.55,312522.0,41.9,35003674.0,38.88,312.0,22.900453249564602
TELANGANA,2024,10077,47.55,312522.0,41.9,35003674.0,38.88,312.0,28.788406611260292
TRIPURA,2015,40,27.0,157364.0,45.0,3673917.0,26.17,350.0,1.0887562239430013
TRIPURA,2016,102,27.0,157364.0,45.0,3673917.0,26.17,350.0,2.7763283710546536
TRIPURA,2017,127,27.0,157364.0,45.0,3673917.0,26.17,350.0,3.4568010110190293
TRIPURA,2018,100,27.0,157364.0,45.0,3673917.0,26.17,350.0,2.7218905598575036
TRIPURA,2019,114,27.0,157364.0,45.0,3673917.0,26.17,350.0,3.102955238237554
TRIPURA,2020,24,27.0,157364.0,45.0,3673917.0,26.17,350.0,0.6532537343658008
TRIPURA,2021,349,27.0,157364.0,45.0,3673917.0,26.17,350.0,9.499398053902688
TRIPURA,2022,56,27.0,157364.0,45.0,3673917.0,26.17,350.0,1.524258713520202
TRIPURA,2023,1447,27.0,157364.0,45.0,3673917.0,26.17,350.0,39.385756401138075
TRIPURA,2024,1198,27.0,157364.0,45.0,3673917.0,26.17,350.0,32.60824890709289
UTTAR PRADESH,2015,2892,50.7,96193.0,41.0,199812341.0,22.27,828.0,1.447358048820418
UTTAR PRADESH,2016,15033,50.7,96193.0,41.0,199812341.0,22.27,828.0,7.523559318090368
UTTAR PRADESH,2017,3092,50.7,96193.0,41.0,199812341.0,22.27,828.0,1.5474519664428537
UTTAR PRADESH,2018,3829,50.7,96193.0,41.0,199812341.0,22.27,828.0,1.9162980528815285
UTTAR PRADESH,2019,10557,50.7,96193.0,41.0,199812341.0,22.27,828.0,5.283457441700261
UTTAR PRADESH,2020,3715,50.7,96193.0,41.0,199812341.0,22.27,828.0,1.8592445198367402
UTTAR PRADESH,2021,29750,50.7,96193.0,41.0,199812341.0,22.27,828.0,14.888970246337287
UTTAR PRADESH,2022,19821,50.7,96193.0,41.0,199812341.0,22.27,828.0,9.919807705971476
UTTAR PRADESH,2023,35402,50.7,96193.0,41.0,199812341.0,22.27,828.0,17.717624358347315
UTTAR PRADESH,2024,15868,50.7,96193.0,41.0,199812341.0,22.27,828.0,7.941451424164036
UTTARAKHAND,2015,1655,30.57,230994.0,46.5,10086292.0,30.23,189.0,16.40840856084674
UTTARAKHAND,2016,2146,30.57,230994.0,46.5,10086292.0,30.23,189.0,21.276401674668946
UTTARAKHAND,2017,849,30.57,230994.0,46.5,10086292.0,30.23,189.0,8.417364875020473
UTTARAKHAND,2018,689,30.57,230994.0,46.5,10086292.0,30.23,189.0,6.831053473367616
UTTARAKHAND,2019,10622,30.57,230994.0,46.5,10086292.0,30.23,189.0,105.31124817722905
UTTARAKHAND,2020,76,30.57,230994.0,46.5,10086292.0,30.23,189.0,0.7534979157851072
UTTARAKHAND,2021,738,30.57,230994.0,46.5,10086292.0,30.23,189.0,7.316861340123803
UTTARAKHAND,2022,2337,30.57,230994.0,46.5,10086292.0,30.23,189.0,23.170060910392046
UTTARAKHAND,2023,4320,30.57,230994.0,46.5,10086292.0,30.23,189.0,42.83040784462714
UTTARAKHAND,2024,494,30.57,230994.0,46.5,10086292.0,30.23,189.0,4.897736452603197
