state,year,cases,health_index_2019_20,gdp_pc,seci_score,pop_2011,urban_pct_2011,density_2011,incidence_per_100k
CHHATTISGARH,2016,356,63.17,137329.0,31.7,25545198.0,23.24,189.0,1.3936083016463603
CHHATTISGARH,2017,444,63.17,137329.0,31.7,25545198.0,23.24,189.0,1.738095746997146
CHHATTISGARH,2018,2674,63.17,137329.0,31.7,25545198.0,23.24,189.0,10.46772078259092
CHHATTISGARH,2019,722,63.17,137329.0,31.7,25545198.0,23.24,189.0,2.8263629039007645
CHHATTISGARH,2020,57,63.17,137329.0,31.7,25545198.0,23.24,189.0,0.22313391346584982
CHHATTISGARH,2021,1086,63.17,137329.0,31.7,25545198.0,23.24,189.0,4.25128824603356
CHHATTISGARH,2022,2679,63.17,137329.0,31.7,25545198.0,23.24,189.0,10.487293932894943
CHHATTISGARH,2023,2412,63.17,137329.0,31.7,25545198.0,23.24,189.0,9.442087706660171
CHHATTISGARH,2024,3523,63.17,137329.0,31.7,25545198.0,23.24,189.0,13.791241704213842
DADRA AND NAGAR HAVELI,2015,1154,50.83,,53.2,585764.0,58.43,970.0,197.0076686173954
DADRA AND NAGAR HAVELI,2016,4161,50.83,,53.2,585764.0,58.43,970.0,710.3543406559638
DADRA AND NAGAR HAVELI,2017,2064,50.83,,53.2,585764.0,58.43,970.0,352.36033624463096
DADRA AND NAGAR HAVELI,2018,493,50.83,,53.2,585764.0,58.43,970.0,84.16358806618365
DADRA AND NAGAR HAVELI,2019,1491,50.83,,53.2,585764.0,58.43,970.0,254.53937080462438
DADRA AND NAGAR HAVELI,2020,248,50.83,,53.2,585764.0,58.43,970.0,42.33786985885101
DADRA AND NAGAR HAVELI,2021,547,50.83,,53.2,585764.0,58.43,970.0,93.38231779351412
DADRA AND NAGAR HAVELI,2022,685,50.83,,53.2,585764.0,58.43,970.0,116.94129376335863
DADRA AND NAGAR HAVELI,2023,1178,50.83,,53.2,585764.0,58.43,970.0,201.10488182954228
DADRA AND NAGAR HAVELI,2024,403,50.83,,53.2,585764.0,58.43,970.0,68.79903852063288
DAMAN AND DIU,2015,165,,,,,,,
DAMAN AND DIU,2016,89,,,,,,,
DAMAN AND DIU,2017,59,,,,,,,
DAMAN AND DIU,2018,163,,,,,,,
DAMAN AND DIU,2019,625,,,,,,,
DAMAN AND DIU,2020,71,,,,,,,
DAMAN AND DIU,2021,279,,,,,,,
DAMAN AND DIU,2022,228,,,,,,,
DAMAN AND DIU,2023,284,,,,,,,
DAMAN AND DIU,2024,278,,,,,,,
DELHI,2015,15867,51.88,430120.0,55.6,16787941.0,97.5,11297.0,94.5142706898958
DELHI,2016,4431,51.88,430120.0,55.6,16787941.0,97.5,11297.0,26.393945511245242
DELHI,2017,9271,51.88,430120.0,55.6,16787941.0,97.5,11297.0,55.22416358265733
DELHI,2018,7136,51.88,430120.0,55.6,16787941.0,97.5,11297.0,42.50670168545386
DELHI,2019,5077,51.88,430120.0,55.6,16787941.0,97.5,11297.0,30.241945691851072
DELHI,2020,1269,51.88,430120.0,55.6,16787941.0,97.5,11297.0,7.558997258806187
DELHI,2021,13089,51.88,430120.0,55.6,16787941.0,97.5,11297.0,77.96667858196547
DELHI,2022,10183,51.88,430120.0,55.6,16787941.0,97.5,11297.0,60.65663442586556
DELHI,2023,16866,51.88,430120.0,55.6,16787941.0,97.5,11297.0,100.46497065959429
DELHI,2024,10585,51.88,430120.0,55.6,16787941.0,97.5,11297.0,63.05121038964814
GOA,2015,293,34.26,492648.0,51.4,1458545.0,62.17,394.0,20.088512867275263
GOA,2016,150,34.26,492648.0,51.4,1458545.0,62.17,394.0,10.284221604407131
GOA,2017,235,34.26,492648.0,51.4,1458545.0,62.17,394.0,16.11194718023784
GOA,2018,335,34.26,492648.0,51.4,1458545.0,62.17,394.0,22.968094916509262
GOA,2019,992,34.26,492648.0,51.4,1458545.0,62.17,394.0,68.0129855438125
GOA,2020,376,34.26,492648.0,51.4,1458545.0,62.17,394.0,25.779115488380544
GOA,2021,649,34.26,492648.0,51.4,1458545.0,62.17,394.0,44.49639880840152
GOA,2022,443,34.26,492648.0,51.4,1458545.0,62.17,394.0,30.372734471682396
GOA,2023,512,34.26,492648.0,51.4,1458545.0,62.17,394.0,35.10347640970968
GOA,2024,567,34.26,492648.0,51.4,1458545.0,62.17,394.0,38.87435766465896
GUJARAT,2015,5590,44.21,272451.0,50.1,60439692.0,42.6,308.0,9.248888958600253
GUJARAT,2016,8028,44.21,272451.0,50.1,60439692.0,42.6,308.0,13.282661996358287
GUJARAT,2017,4753,44.21,272451.0,50.1,60439692.0,42.6,308.0,7.864037427589802
GUJARAT,2018,7579,44.21,272451.0,50.1,60439692.0,42.6,308.0,12.53977270433476
GUJARAT,2019,18219,44.21,272451.0,50.1,60439692.0,42.6,308.0,30.144098020883362
GUJARAT,2020,1564,44.21,272451.0,50.1,60439692.0,42.6,308.0,2.5877034581843996
GUJARAT,2021,10983,44.21,272451.0,50.1,60439692.0,42.6,308.0,18.171833172147867
GUJARAT,2022,6682,44.21,272451.0,50.1,60439692.0,42.6,308.0,11.055648662140767
GUJARAT,2023,7222,44.21,272451.0,50.1,60439692.0,42.6,308.0,11.949101262792668
GUJARAT,2024,7891,44.21,272451.0,50.1,60439692.0,42.6,308.0,13.055989762489192
HARYANA,2015,9921,44.31,296592.0,47.9,25351462.0,34.88,573.0,39.13383772501957
HARYANA,2016,2493,44.31,296592.0,47.9,25351462.0,34.88,573.0,9.833752388718253
HARYANA,2017,4550,44.31,296592.0,47.9,25351462.0,34.88,573.0,17.947682859473744
HARYANA,2018,1898,44.31,296592.0,47.9,25351462.0,34.88,573.0,7.486747707094763
HARYANA,2019,1207,44.31,296592.0,47.9,25351462.0,34.88,573.0,4.761066639864794
HARYANA,2020,1377,44.31,296592.0,47.9,25351462.0,34.88,573.0,5.431639406042933
HARYANA,2021,11835,44.31,296592.0,47.9,25351462.0,34.88,573.0,46.68369816304874
HARYANA,2022,8996,44.31,296592.0,47.9,25351462.0,34.88,573.0,35.4851329678738
HARYANA,2023,8081,44.31,296592.0,47.9,25351462.0,34.88,573.0,31.87587366756205
HARYANA,2024,6469,44.31,296592.0,47.9,25351462.0,34.88,573.0,25.517266025919923
HIMACHAL PRADESH,2015,19,69.96,218788.0,45.4,6864602.0,10.03,123.0,0.2767822519062285
HIMACHAL PRADESH,2016,322,69.96,218788.0,45.4,6864602.0,10.03,123.0,4.690730795463452
HIMACHAL PRADESH,2017,452,69.96,218788.0,45.4,6864602.0,10.03,123.0,6.584504097979752
HIMACHAL PRADESH,2018,4672,69.96,218788.0,45.4,6864602.0,10.03,123.0,68.05929899504736
HIMACHAL PRADESH,2019,344,69.96,218788.0,45.4,6864602.0,10.03,123.0,5.01121550819698
