adm_0_name,adm_1_name,adm_2_name,full_name,ISO_A0,FAO_GAUL_code,RNE_iso_code,IBGE_code,calendar_start_date,calendar_end_date,Year,dengue_total,case_definition_standardised,S_res,T_res,UUID,region
INDIA,NA,NA,INDIA,IND,115,IND,NA,01-01-2022,31-12-2022,2022,233251,Total,Admin0,Year,MOH-IND-2022-Y01-01,SEARO
INDIA,NA,NA,INDIA,IND,115,IND,NA,01-01-2023,31-12-2023,2023,289235,Total,Admin0,Year,MOH-IND-20152024-Y01-02,SEARO
INDIA,NA,NA,INDIA,IND,115,IND,NA,01-01-2024,31-12-2024,2024,233519,Total,Admin0,Year,MOH-IND-20152024-Y01-02,SEARO
INDIA,NA,NA,INDIA,IND,115,IND,NA,01-01-1999,31-12-1999,1999,944,Total,Admin0,Year,WHOSEARO-ALL-19852009-Y01-00,SEARO
INDIA,NA,NA,INDIA,IND,115,IND,NA,01-01-2000,31-12-2000,2000,650,Total,Admin0,Year,WHOSEARO-ALL-19852009-Y01-00,SEARO
INDIA,NA,NA,INDIA,IND,115,IND,NA,01-01-2001,31-12-2001,2001,3306,Total,Admin0,Year,WHOSEARO-ALL-19852009-Y01-00,SEARO
INDIA,NA,NA,INDIA,IND,115,IND,NA,01-01-2002,31-12-2002,2002,1926,Total,Admin0,Year,WHOSEARO-ALL-19852009-Y01-00,SEARO
INDIA,NA,NA,INDIA,IND,115,IND,NA,01-01-2015,31-12-2015,2015,99913,Total,Admin0,Year,MOH-IND-20152024-Y01-00,SEARO
INDIA,NA,NA,INDIA,IND,115,IND,NA,01-01-2016,31-12-2016,2016,129166,Total,Admin0,Year,MOH-IND-20152024-Y01-00,SEARO
INDIA,NA,NA,INDIA,IND,115,IND,NA,01-01-2017,31-12-2017,2017,188401,Total,Admin0,Year,MOH-IND-20152024-Y01-00,SEARO
INDIA,NA,NA,INDIA,IND,115,IND,NA,01-01-2018,31-12-2018,2018,101192,Total,Admin0,Year,MOH-IND-20152024-Y01-00,SEARO
INDIA,NA,NA,INDIA,IND,115,IND,NA,01-01-2019,31-12-2019,2019,157315,Total,Admin0,Year,MOH-IND-20152024-Y01-00,SEARO
INDIA,NA,NA,INDIA,IND,115,IND,NA,01-01-2020,31-12-2020,2020,44585,Total,Admin0,Year,MOH-IND-20152024-Y01-00,SEARO
INDIA,NA,NA,INDIA,IND,115,IND,NA,01-01-2011,31-12-2011,2011,18860,Total,Admin0,Year,LITERATURE-IND-19972012-Y01-01,SEARO
INDIA,NA,NA,INDIA,IND,115,IND,NA,01-01-2009,31-12-2009,2009,15535,Total,Admin0,Year,WHOSEARO-ALL-19852009-Y01-00,SEARO
INDIA,NA,NA,INDIA,IND,115,IND,NA,01-01-2010,31-12-2010,2010,28292,Total,Admin0,Year,LITERATURE-IND-19972012-Y01-00,SEARO
INDIA,NA,NA,INDIA,IND,115,IND,NA,01-01-2025,31-01-2025,2025,4700,Total,Admin0,Month,WHO-ALL-2025-Y01-00,SEARO
INDIA,NA,NA,INDIA,IND,115,IND,NA,01-01-2012,31-12-2012,2012,37070,Total,Admin0,Year,LITERATURE-IND-19972012-Y01-01,SEARO
INDIA,NA,NA,INDIA,IND,115,IND,NA,01-01-2013,31-12-2013,2013,55153,Confirmed,Admin0,Year,LITERATURE-IND-19982014-Y02-00,SEARO
INDIA,NA,NA,INDIA,IND,115,IND,NA,01-01-2014,31-12-2014,2014,28933,Confirmed,Admin0,Year,LITERATURE-IND-19982014-Y02-00,SEARO
