state,year,t2m_mean,precip_total_mm
Kerala,2022,25.002499999999998,2250.8099999999995
Kerala,2023,25.685,1624.79
Kerala,2024,25.991666666666664,2040.3099999999997
Puducherry,2021,26.648333333333337,1678.71
Puducherry,2022,26.740000000000006,1239.07
Puducherry,2023,27.352499999999996,1169.41
Puducherry,2024,27.731666666666666,1411.93
Tamil Nadu,2021,26.275833333333335,1210.0399999999997
Tamil Nadu,2022,26.382499999999997,1031.27
Tamil Nadu,2023,27.430833333333336,732.8699999999999
Tamil Nadu,2024,27.495833333333334,1043.48
Lakshadweep,2021,28.359166666666667,1954.6899999999998
Lakshadweep,2022,28.025833333333335,1925.23
Lakshadweep,2023,28.57166666666667,1455.0400000000002
Lakshadweep,2024,28.81916666666666,2399.4599999999996
Andaman and Nicobar,2021,28.14916666666667,2609.9
Andaman and Nicobar,2022,28.125833333333336,2598.58
Andaman and Nicobar,2023,28.488333333333333,1764.9499999999998
Andaman and Nicobar,2024,28.739166666666666,2400.3799999999997
Jharkhand,2021,23.988333333333333,1934.1899999999998
Jharkhand,2022,23.971666666666668,1271.1100000000001
Jharkhand,2023,24.7075,1159.07
Jharkhand,2024,24.778333333333336,1610.81
Delhi,2021,24.662499999999998,1095.27
Delhi,2022,25.426666666666666,797.1800000000001
Delhi,2023,24.83,784.0699999999998
Delhi,2024,25.58083333333333,810.3199999999999
Chandigarh,2021,23.717499999999998,1233.1899999999998
Chandigarh,2022,23.723333333333333,1454.6100000000004
Chandigarh,2023,23.005,1589.75
Chandigarh,2024,24.171666666666663,1180.3100000000002
Madhya Pradesh,2021,25.398333333333337,999.2499999999999
Madhya Pradesh,2022,25.3225,1418.3
Madhya Pradesh,2023,25.014166666666664,863.1599999999999
Madhya Pradesh,2024,25.453333333333333,1192.09
Chhattisgarh,2021,25.529999999999998,1482.73
Chhattisgarh,2022,25.48833333333333,1403.2900000000002
Chhattisgarh,2023,25.458333333333332,1645.2900000000002
Chhattisgarh,2024,25.97,1321.0000000000002
Haryana,2021,24.768333333333334,979.54
Haryana,2022,25.31833333333334,875.01
Haryana,2023,24.94,671.9300000000001
Haryana,2024,25.7775,656.5200000000001
Telangana,2021,25.561666666666667,1148.8200000000002
Telangana,2022,25.70833333333334,1126.7800000000002
Telangana,2023,25.96083333333333,1068.99
Telangana,2024,26.485833333333332,1007.9100000000001
